Movie,IMDB
Parasite,tt6751668
Green Book,tt6966692
The Shape of Water,tt5580390
Moonlight,tt4975722
Spotlight,tt1895587
Birdman,tt2562232
12 Years a Slave,tt2024544
Argo,tt1024648
The Artist,tt1655442
The King's Speech,tt1504320
The Shawshank Redemption,tt0111161
The Godfather,tt0068646
The Dark Knight,tt0468569
Pulp Fiction,tt0110912
Forrest Gump,tt0109830
